Nombre	Vacunas exijidas	Vacunas recomendadas	,,,,
BANGLADESH	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
AFGANIST&#xC1;N	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros procedentes de países con riesgo de transmisión de la fiebre amarilla. España no está incluída en estas zonas.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ALEMANIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ALBANIA	Se exige un certificado de vacunación internacional contra la Fiebre Amarilla a todos los viajeros mayores de 1 año procedentes de zonas con riesgo de transmisión de la fiebre amarilla. España no se encuentra incluida en estas zonas.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ANGOLA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses. Recomendación de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ANGUILLA (Anguila)	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a todos aquellos viajeros que hayan realizado tránsitos en aeropuertos de países con riesgo de transmisión de la fiebre amarilla. España no está incluida en estas zonas. Recomendación de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ARGELIA	Se exige certificado de vacunación internacional contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizados tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. El certificado de vacunación frente a la fiebre amarilla es válido de por vida. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
AZERBAIY&#xC1;N	Requisitos del país: No. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ARABIA SAUD&#xCD;	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a todos aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de la fiebre amarilla. Recomendación de vacunación contra la fiebre amarilla: No.
El certificado de vacunación de fiebre amarilla es válido para toda la vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BAHAMAS	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Excluyendo Guyana, Surinam y Trinidad y Tobago. Recomendaciones de vacunación contra la fiebre amarilla: No. El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
AUSTRIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
BELGICA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
